Day 1
name, sellIn, price
Low Coverage, -15, 0
Mega Coverage, 0, 80
Mega Coverage, -1, 80
Special Full Coverage, -5, 0
Special Full Coverage, -10, 0
Special Full Coverage, -15, 0

Day 21
name, sellIn, price
Medium Coverage, -11, 0
Full Coverage, -19, 40
Low Coverage, -16, 0
Mega Coverage, 0, 80
Mega Coverage, -1, 80
Special Full Coverage, -6, 0
Special Full Coverage, -11, 0
Special Full Coverage, -16, 0

Day 22
name, sellIn, price
Medium Coverage, -12, 0
Full Coverage, -20, 42
Low Coverage, -17, 0
Mega Coverage, 0, 80
Mega Coverage, -1, 80
Special Full Coverage, -7, 0
Special Full Coverage, -12, 0
Special Full Coverage, -17, 0

Day 23
name, sellIn, price
Medium Coverage, -13, 0
Full Coverage, -21, 44
Low Coverage, -18, 0
Mega Coverage, 0, 80
Mega Coverage, -1, 80
Special Full Coverage, -8, 0
Special Full Coverage, -13, 0
Special Full Coverage, -18, 0

Day 24
name, sellIn, price
Medium Coverage, -14, 0
Full Coverage, -22, 46
Low Coverage, -19, 0
Mega Coverage, 0, 80
Mega Coverage, -1, 80
Special Full Coverage, -9, 0
Special Full Coverage, -14, 0
Special Full Coverage, -19, 0

Day 25
name, sellIn, price
Medium Coverage, -15, 0
Full Coverage, -23, 48
Low Coverage, -20, 0
Mega Coverage, 0, 80
Mega Coverage, -1, 80
Special Full Coverage, -10, 0
Special Full Coverage, -15, 0
Special Full Coverage, -20, 0

Day 26
name, sellIn, price
Medium Coverage, -16, 0
Full Coverage, -24, 50
Low Coverage, -21, 0
Mega Coverage, 0, 80
Mega Coverage, -1, 80
Special Full Coverage, -11, 0
Special Full Coverage, -16, 0
Special Full Coverage, -21, 0

Day 27
name, sellIn, price
Medium Coverage, -17, 0
Full Coverage, -25, 50
Low Coverage, -22, 0
Mega Coverage, 0, 80
Mega Coverage, -1, 80
Special Full Coverage, -12, 0
Special Full Coverage, -17, 0
Special Full Coverage, -22, 0

Day 28
name, sellIn, price
Medium Coverage, -18, 0
Full Coverage, -26, 50
Low Coverage, -23, 0
Mega Coverage, 0, 80
Mega Coverage, -1, 80
Special Full Coverage, -13, 0
Special Full Coverage, -18, 0
Special Full Coverage, -23, 0

Day 29
name, sellIn, price
Medium Coverage, -19, 0
Full Coverage, -27, 50
Low Coverage, -24, 0
Mega Coverage, 0, 80
Mega Coverage, -1, 80
Special Full Coverage, -14, 0
Special Full Coverage, -19, 0
Special Full Coverage, -24, 0

Day 30
name, sellIn, price
Medium Coverage, -20, 0
Full Coverage, -28, 50
Low Coverage, -25, 0
Mega Coverage, 0, 80
Mega Coverage, -1, 80
Special Full Coverage, -15, 0
Special Full Coverage, -20, 0
Special Full Coverage, -25, 0

